"ChassisID","BoltPattern","Hubbore","HubboreRear","MaxWheelLoad","Nutorbolt","NutBoltThreadType","NutBoltHex","BoltLength","Minboltlength","Maxboltlength","NutBoltTorque","AxleWeightFront","AxleWeightRear","TPMS"
"20","5x120.65","73.9","0.00","1320","nut","1/2 UNF","21","","0","0","75","0","0",""
"21","5x114.3","68.1","0.00","1320","nut","M14x2.0","22","","0","0","100","0","0","on"
"23","5x108","63.4","","1320","nut","M12x1.5","19","","","","88","","","on"
"102","4x100","56.1","","979","bolt","M12x1.5","17","27.00","26","30","88","910","800","on"
"109","5x110","65.1","0.00","1232","bolt","M12x1.5","17","26.00","25","28","80","0","0",""
"110","5x115","70.3","","1177","nut","M12x1.5","19","","","","100","1035","1155","on"
"111","5x115","70.3","","1419","nut","M12x1.5","19","","","","100","","","on"
"112","5x115","70.3","","1375","nut","M12x1.5","19","","","","100","","","on"
"113","5x115","70.3","","1375","nut","M12x1.5","19","","","","100","","","on"
"115","5x115","70.3","","1298","nut","M12x1.5","19","","","","100","","",""
"117","5x120.65","70.3","","1448","nut","M12x1.5","19","","","","95","","",""
"118","5x120.65","70.3","","1448","nut","M12x1.5","19","","","","100","","",""
"119","5x120.65","70.3","0.00","1448","nut","M12x1.5","19","","0","0","100","0","0",""
"120","6x139.7","78","","1562","nut","7/16 UNF","19","","","","100","","",""
"121","5x120.65","70.3","","1309","nut","7/16 UNF","19","","","","80","","",""
"122","5x120.65","70.3","","1309","nut","M12x1.5","19","","","","100","","",""
"123","5x120.65","70.3","","1309","nut","M12x1.5","19","","","","100","","",""
"124","5x120.65","70.3","","1309","nut","M12x1.5","19","","","","100","","",""
"125","5x120.65","70.3","","1309","nut","M12x1.5","19","","","","100","","",""
"126","5x120.65","70.3","","1036","nut","M12x1.5","19","","","","100","","","on"
"127","5x120.65","70.3","","1069","nut","M12x1.5","19","","","","100","","","on"
"128","5x120.65","70.3","","1036","nut","M12x1.5","19","","","","100","","","on"
"129","6x139.7","77.8","0.00","1732","nut","M14x1.5","22","","0","0","140","0","0",""
"131","6x139.7","77.8","","1995","nut","M14x1.5","22","","","","140","1452","1814","on"
"133","5x127","77.8","0.00","1732","nut","M14x1.5","22","","0","0","140","0","0",""
"134","6x139.7","78.1","","2046","nut","M14x1.5","22","","","","140","1542","1814","on"
"135","6x139.7","78.1","","1839","nut","M14x1.5","22","","","","140, excludes HD versions","1633","1672","on"
"136","6x127","78.1","0.00","1540","nut","M12x1.5","19","","0","0","100","1338","1451","on"
"149","5x100","57.1","","1217","nut","M12x1.5","19","","","","65 to 80","1053","903",""
"153","5x114.3","71.5","","1430","nut","1/2 UNF","19","","","","85 to 110","","","on"
"154","5x114.3","71.5","","1406","nut","1/2 UNF","19","","","","85 to 110","","",""
"155","5x127","71.5","0.00","1460","nut","1/2 UNF","19","","0","0","85 to 115","0","0","on"
"156","5x114.3","71.5","","1322","nut","1/2 UNF","19","","","","80","","",""
"196","4x100","56.6","0.00","957","bolt","M12x1.5","19","25.00","24","27","81","0","0",""
"197","5x114.3","56.6","","1067","nut","M12x1.5","21","","","","81","","",""
"203","4x100","56.6","","1089","bolt","M12x1.5","19","25.00","24","27","81","","",""
"215","4x100","56.1","0.00","880","nut","M12x1.5","21","","0","0","81","0","0",""
"221","5x139.7","108","","1485","nut","M12x1.5","21","","","","81","","",""
"232","6x114.3","71.5","0.00","1760","nut","1/2 UNF","19","","0","0","85 to 115","0","0",""
"233","6x114.3","71.5","0.00","1760","nut","1/2 UNF","19","","0","0","85 to 115","0","0",""
"234","6x114.3","71.5","0.00","1510","nut","1/2 UNF","19","","0","0","85 to 115","0","0",""
"235","5x139.7","100","","1716","nut","1/2 UNF","19","","","","105","","",""
"236","8x165.1","117","0.00","2310","nut","9/16 UNF","24","","0","0","120 to 150","0","0",""
"237","5x139.7","77.8","","1870","nut","1/2 UNF","19","","","","105","","",""
"238","6x139.7","77.8","","1716","nut","M12x1.5","19","","","","87 to 101","","",""
